City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Pringsewu,ID,2020-09-28 23:51:38,-5.36,104.97,75.94,89,36,3.04
155,Toba,JP,2020-09-28 23:51:38,34.48,136.85,66.99,96,91,15.59
156,Craig,US,2020-09-28 23:51:38,40.52,-107.55,59.0,11,1,5.82
157,Canutama,BR,2020-09-28 23:51:38,-6.53,-64.38,82.6,62,66,2.19
158,Kavieng,PG,2020-09-28 23:51:38,-2.57,150.8,83.5,69,59,6.44
159,Oktyabrskoye,RU,2020-09-28 23:51:39,43.06,44.74,46.4,100,10,6.71
160,Khor,RU,2020-09-28 23:51:39,47.89,134.95,50.85,87,60,12.1
161,Puerto Suarez,BO,2020-09-28 23:51:39,-18.95,-57.8,83.52,50,17,4.68
162,Talgar,KZ,2020-09-28 23:51:39,43.3,77.24,33.8,74,40,2.24
163,Olafsvik,IS,2020-09-28 23:51:40,64.89,-23.71,36.82,90,99,16.49
164,Kemijarvi,FI,2020-09-28 23:51:40,66.71,27.43,45.54,95,3,4.72
165,Ancud,CL,2020-09-28 23:51:40,-41.87,-73.82,50.0,92,100,1.99
166,Ponta Do Sol,PT,2020-09-28 23:50:29,32.67,-17.1,68.0,82,75,19.46
167,Ulaanbaatar,MN,2020-09-28 23:51:40,47.91,106.88,21.2,85,36,2.24
168,Ambilobe,MG,2020-09-28 23:51:41,-13.2,49.05,65.75,87,36,3.2
169,Kirakira,SB,2020-09-28 23:51:41,-10.45,161.92,84.15,71,94,10.36
170,Clyde River,CA,2020-09-28 23:51:41,70.47,-68.59,28.4,92,90,20.8
171,Leningradskiy,RU,2020-09-28 23:51:42,69.38,178.42,34.74,83,10,4.94
172,Margate,GB,2020-09-28 23:51:42,51.38,1.39,55.99,69,15,9.53
173,Tianmen,CN,2020-09-28 23:51:42,30.65,113.16,66.58,95,100,2.48
174,Santa Maria,BR,2020-09-28 23:51:42,-29.68,-53.81,59.0,82,0,2.51
175,Labuhan,ID,2020-09-28 23:51:43,-6.88,112.21,80.38,72,19,11.48
176,Vaini,TO,2020-09-28 23:51:43,-21.2,-175.2,78.8,83,40,9.17
177,Mattru,SL,2020-09-28 23:51:43,7.62,-11.83,73.69,98,99,3.02
178,Emerald,AU,2020-09-28 23:51:43,-23.53,148.17,70.0,60,90,10.29
179,San Cristobal,VE,2020-09-28 23:51:44,7.77,-72.22,86.0,62,40,6.93
180,Kodinsk,RU,2020-09-28 23:51:44,58.69,99.18,38.32,91,99,6.55
181,Ossora,RU,2020-09-28 23:51:44,59.24,163.07,48.33,74,100,15.59
182,Esenyurt,TR,2020-09-28 23:51:44,41.03,28.68,73.4,83,94,4.7
183,Atuona,PF,2020-09-28 23:51:45,-9.8,-139.03,78.33,72,2,14.67
184,Lata,PT,2020-09-28 23:51:45,40.16,-8.33,64.0,85,95,2.1
185,Davila,PH,2020-09-28 23:51:45,18.47,120.58,78.8,94,75,3.36
186,Belogorsk,RU,2020-09-28 23:51:45,50.92,128.46,46.13,76,77,6.91
187,Lebu,CL,2020-09-28 23:51:46,-37.62,-73.65,47.95,84,100,5.14
188,Kloulklubed,PW,2020-09-28 23:51:46,7.04,134.26,82.4,78,75,5.82
189,Inhambupe,BR,2020-09-28 23:51:46,-11.78,-38.35,70.29,95,6,7.87
190,Ust-Omchug,RU,2020-09-28 23:51:46,61.15,149.63,39.16,73,81,6.67
191,Narkanda,IN,2020-09-28 23:51:47,31.25,77.46,45.09,72,0,3.78
192,Upernavik,GL,2020-09-28 23:51:47,72.79,-56.15,26.1,92,96,7.36
193,Velsk,RU,2020-09-28 23:51:47,61.07,42.1,44.62,86,52,4.34
194,Itarema,BR,2020-09-28 23:51:47,-2.92,-39.92,78.71,82,1,16.8
195,Evensk,RU,2020-09-28 23:51:48,61.95,159.23,45.9,78,100,3.22
196,Doha,QA,2020-09-28 23:51:38,25.29,51.53,87.8,74,0,2.35
197,Rocha,UY,2020-09-28 23:51:48,-34.48,-54.33,47.01,79,0,4.88
198,Tahe,CN,2020-09-28 23:51:48,52.33,124.73,43.68,74,31,6.24
199,Sambava,MG,2020-09-28 23:51:48,-14.27,50.17,68.99,86,30,8.93
200,La Paz,BO,2020-09-28 23:50:21,-16.5,-68.15,46.4,65,75,14.99
201,Narsaq,GL,2020-09-28 23:51:49,60.92,-46.05,30.2,58,0,2.24
202,Tazovskiy,RU,2020-09-28 23:51:49,67.47,78.7,34.66,89,91,11.68
203,Pingliang,CN,2020-09-28 23:51:50,35.54,106.69,58.06,65,6,2.26
204,Kasongo-Lunda,CD,2020-09-28 23:51:50,-6.47,16.82,71.47,88,87,0.96
205,Anadyr,RU,2020-09-28 23:51:50,64.75,177.48,42.8,75,75,13.42
206,Airai,TL,2020-09-28 23:51:41,-8.93,125.41,73.24,42,0,4.52
207,Waynesboro,US,2020-09-28 23:50:41,38.07,-78.89,73.0,100,75,4.68
208,Baruun-Urt,MN,2020-09-28 23:51:51,46.68,113.28,37.44,73,0,6.13
209,Tutoia,BR,2020-09-28 23:51:51,-2.76,-42.27,79.75,82,14,12.53
210,Puerto Narino,CO,2020-09-28 23:51:51,-3.77,-70.38,82.4,83,75,6.93
211,Arica,CL,2020-09-28 23:47:18,-18.48,-70.3,62.6,77,75,8.05
212,Kaeo,NZ,2020-09-28 23:51:51,-35.1,173.78,63.0,74,32,17.0
213,College,US,2020-09-28 23:51:52,64.86,-147.8,51.01,61,75,3.36
214,Lethem,GY,2020-09-28 23:51:52,3.38,-59.8,79.05,77,74,5.06
215,Ambatofinandrahana,MG,2020-09-28 23:51:52,-20.55,46.8,57.07,92,3,1.14
216,Holme,DK,2020-09-28 23:51:52,56.11,10.17,55.4,93,93,1.12
217,Fairbanks,US,2020-09-28 23:51:52,64.84,-147.72,51.01,61,75,3.36
218,Kahului,US,2020-09-28 23:50:25,20.89,-156.47,89.6,52,20,23.04
219,Kavaratti,IN,2020-09-28 23:51:53,10.57,72.64,80.78,78,57,9.86
220,Carnarvon,AU,2020-09-28 23:51:53,-24.87,113.63,62.6,77,0,13.87
221,Santiago,CL,2020-09-28 23:49:09,-33.46,-70.65,61.0,55,80,12.75
222,Eydhafushi,MV,2020-09-28 23:51:54,5.1,73.07,82.24,72,84,5.91
223,Borogontsy,RU,2020-09-28 23:51:54,62.67,131.17,39.43,80,34,5.93
224,Half Moon Bay,US,2020-09-28 23:51:23,37.46,-122.43,95.0,93,90,5.82
225,Batagay-Alyta,RU,2020-09-28 23:51:54,67.8,130.41,34.09,83,39,2.37
226,Pecos,US,2020-09-28 23:51:55,31.42,-103.49,73.4,17,1,6.93
227,Slave Lake,CA,2020-09-28 23:51:55,55.28,-114.77,62.6,45,20,18.34
228,Butaritari,KI,2020-09-28 23:51:55,3.07,172.79,82.89,69,50,11.86
229,Labrea,BR,2020-09-28 23:51:55,-7.26,-64.8,82.15,59,39,2.82
230,Cacequi,BR,2020-09-28 23:51:55,-29.88,-54.83,55.78,69,0,2.98
231,Opuwo,NA,2020-09-28 23:51:56,-18.06,13.84,56.8,35,5,3.13
232,Goderich,CA,2020-09-28 23:47:33,43.75,-81.72,63.0,86,100,14.97
233,Lagoa,PT,2020-09-28 23:51:56,39.05,-27.98,67.39,86,100,18.84
234,Sasso Marconi,IT,2020-09-28 23:51:56,44.4,11.25,57.0,76,11,3.36
235,Panzhihua,CN,2020-09-28 23:51:56,26.59,101.71,71.51,79,33,1.01
236,Codajas,BR,2020-09-28 23:51:57,-3.84,-62.06,80.69,71,61,1.5
237,Mosetse,BW,2020-09-28 23:51:57,-20.75,26.65,65.98,75,6,12.8
238,Misratah,LY,2020-09-28 23:51:57,32.38,15.09,77.02,76,19,10.8
239,Arraial Do Cabo,BR,2020-09-28 23:51:57,-22.97,-42.03,75.2,88,80,10.29
240,Terney,RU,2020-09-28 23:51:58,45.05,136.61,61.45,69,91,4.52
241,Komsomolskiy,UZ,2020-09-28 23:51:58,40.43,71.72,57.2,71,98,2.24
242,Bitung,ID,2020-09-28 23:51:58,1.45,125.18,80.6,78,20,2.24
243,Gemena,CD,2020-09-28 23:51:58,3.25,19.77,68.68,98,100,0.22
244,Nuevo Progreso,MX,2020-09-28 23:52:06,23.17,-97.95,84.0,63,25,4.0
245,Wanning,CN,2020-09-28 23:52:06,18.8,110.4,81.43,85,100,3.38
246,Padang,ID,2020-09-28 23:52:06,-0.95,100.35,77.59,75,46,3.78
247,Chaykovskiy,RU,2020-09-28 23:52:06,56.77,54.11,47.16,90,37,1.14
248,Chulumani,BO,2020-09-28 23:52:07,-16.41,-67.53,60.76,82,100,2.44
249,Bilibino,RU,2020-09-28 23:52:07,68.05,166.44,41.4,64,92,1.86
250,Codrington,AU,2020-09-28 23:52:07,-38.27,141.97,57.72,70,100,11.74
251,Sangueya,GN,2020-09-28 23:52:08,10.7,-14.37,75.16,92,98,0.36
252,Leninskoye,RU,2020-09-28 23:52:08,47.94,132.62,51.76,76,0,6.42
253,Gladstone,AU,2020-09-28 23:52:08,-23.85,151.25,75.2,53,40,16.11
254,Monkey Bay,MW,2020-09-28 23:52:08,-14.07,34.92,76.66,67,2,2.1
255,Praia,CV,2020-09-28 23:52:09,14.92,-23.51,80.6,88,40,11.41
256,Aklavik,CA,2020-09-28 23:52:09,68.22,-135.01,37.4,93,90,11.41
257,Zyryanka,RU,2020-09-28 23:52:09,65.75,150.85,48.51,63,80,15.75
258,Hajduhadhaz,HU,2020-09-28 23:52:10,47.68,21.67,50.0,100,90,5.95
259,Sorong,ID,2020-09-28 23:50:45,-0.88,131.25,79.72,79,100,5.46
260,Krasnoselkup,RU,2020-09-28 23:52:10,65.7,82.47,29.84,97,9,8.61
261,Cheremushskiy,RU,2020-09-28 23:52:10,61.27,47.26,45.14,91,0,4.29
262,Nabire,ID,2020-09-28 23:52:10,-3.37,135.48,80.98,74,88,2.13
263,Miri,MY,2020-09-28 23:52:11,4.41,114.01,77.0,94,20,1.12
264,Sept-Iles,CA,2020-09-28 23:51:43,50.2,-66.38,55.4,93,75,9.17
265,Manaure,CO,2020-09-28 23:52:11,11.78,-72.44,85.28,71,41,14.25
266,Talnakh,RU,2020-09-28 23:52:11,69.49,88.4,30.2,100,40,8.95
267,Muros,ES,2020-09-28 23:52:11,42.78,-9.06,57.99,77,97,4.0
268,Puerto Madero,MX,2020-09-28 23:52:12,14.72,-92.42,84.2,79,75,3.36
269,Ryabovo,RU,2020-09-28 23:52:12,59.4,31.13,51.8,81,90,4.47
270,Porto Novo,BJ,2020-09-28 23:47:27,6.5,2.6,80.6,83,40,8.05
271,Amga,RU,2020-09-28 23:52:12,60.9,131.96,41.18,78,97,5.86
272,Pevek,RU,2020-09-28 23:52:12,69.7,170.31,38.21,75,9,13.82
273,Urengoy,RU,2020-09-28 23:52:13,65.97,78.37,32.0,96,42,6.67
274,Dali,CN,2020-09-28 23:52:13,25.7,100.18,62.26,87,40,3.02
275,Perevolotskiy,RU,2020-09-28 23:52:13,51.88,54.19,48.61,80,1,6.51
276,Mogadishu,SO,2020-09-28 23:50:20,2.04,45.34,77.58,85,11,12.75
277,Zhigansk,RU,2020-09-28 23:52:14,66.77,123.37,34.2,92,100,23.42
278,Marzuq,YE,2020-09-28 23:52:14,14.4,46.47,76.8,54,15,3.09
279,Yuanping,CN,2020-09-28 23:52:14,38.72,112.76,59.58,75,92,6.55
280,Orange Walk,BZ,2020-09-28 23:52:14,17.83,-88.83,87.8,74,40,8.05
281,San Patricio,MX,2020-09-28 23:52:15,19.22,-104.7,89.6,75,40,11.41
282,Klaksvik,FO,2020-09-28 23:52:15,62.23,-6.59,48.2,93,30,4.7
283,Gull Lake,CA,2020-09-28 23:52:15,50.1,-108.48,71.6,28,1,18.34
284,Oxford,GB,2020-09-28 23:52:11,51.75,-1.26,59.0,100,90,5.82
285,Vanavara,RU,2020-09-28 23:52:15,60.34,102.28,34.03,89,100,5.95
286,Los Llanos De Aridane,ES,2020-09-28 23:52:16,28.66,-17.92,75.2,64,40,17.22
287,Dhidhdhoo,MV,2020-09-28 23:52:16,6.88,73.1,82.22,72,27,7.09
288,Srednekolymsk,RU,2020-09-28 23:52:16,67.45,153.68,50.74,53,66,5.95
289,Ostrovnoy,RU,2020-09-28 23:52:17,68.05,39.51,49.68,84,84,18.9
