,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Mecca,SA,21.43,39.83,84.04,37,12,2.64,few clouds
135,Tual,ID,-5.67,132.75,79.54,81,95,22.62,overcast clouds
136,Kasongo-Lunda,CD,-6.47,16.82,73.44,86,68,2.39,light rain
137,Norman Wells,CA,65.28,-126.83,42.8,87,90,6.93,overcast clouds
138,Yar-Sale,RU,66.83,70.83,43.29,89,100,8.81,overcast clouds
139,Ventspils,LV,57.39,21.56,53.6,81,10,5.82,clear sky
140,Hasaki,JP,35.73,140.83,55.4,100,40,2.24,fog
141,Saint Anthony,US,45.02,-93.22,54.0,46,75,10.29,broken clouds
142,Zabaykalsk,RU,49.63,117.32,41.18,89,100,9.89,moderate rain
143,Bathsheba,BB,13.22,-59.52,82.4,78,40,14.99,scattered clouds
144,Salalah,OM,17.02,54.09,77.0,83,40,3.36,scattered clouds
145,Kota Tinggi,MY,1.74,103.9,77.0,94,20,2.51,few clouds
146,Longyearbyen,SJ,78.22,15.64,32.0,95,90,3.36,light snow
147,Dingle,PH,11.0,122.67,75.7,90,73,2.17,broken clouds
148,Nicoya,CR,10.15,-85.45,87.8,70,75,11.41,shower rain
149,Yumen,CN,40.28,97.2,44.78,44,97,8.88,overcast clouds
150,Beringovskiy,RU,63.05,179.32,39.63,84,100,19.91,overcast clouds
151,Yelizovo,RU,53.19,158.38,33.8,67,0,8.95,clear sky
152,Verkhnyaya Inta,RU,65.98,60.31,47.59,93,100,13.51,light rain
153,Katherine,AU,-14.47,132.27,73.4,53,12,4.7,few clouds
154,Nabannagan,PH,18.07,121.53,74.53,95,68,1.43,light rain
155,Guerrero Negro,MX,27.98,-114.06,95.45,22,0,10.76,clear sky
156,Kassala,SD,15.45,36.4,82.36,56,92,5.03,light rain
157,Ilhabela,BR,-23.78,-45.36,78.73,77,14,4.97,few clouds
158,Kodiak,US,57.79,-152.41,51.8,87,90,24.16,light rain
159,Sinegorye,RU,62.08,150.48,32.85,91,0,3.0,clear sky
160,Felipe Carrillo Puerto,MX,19.58,-88.05,85.78,71,45,4.83,light rain
161,Yongchang,CN,30.04,119.73,70.0,90,75,0.92,broken clouds
162,Charters Towers,AU,-20.1,146.27,65.88,85,99,9.48,overcast clouds
163,Nanakuli,US,21.39,-158.15,87.8,45,1,4.7,clear sky
164,Reconquista,AR,-29.15,-59.65,77.36,77,3,16.58,clear sky
165,Whitehorse,CA,60.72,-135.05,55.4,47,20,12.75,few clouds
166,Bethel,US,41.37,-73.41,72.0,43,20,10.29,few clouds
167,Hobyo,SO,5.35,48.53,76.89,88,65,12.88,broken clouds
168,Kavieng,PG,-2.57,150.8,82.29,76,100,9.73,moderate rain
169,Awbari,LY,26.59,12.78,81.81,19,0,5.14,clear sky
170,Grindavik,IS,63.84,-22.43,42.8,81,75,10.29,broken clouds
171,Nikolskoye,RU,59.7,30.79,54.0,87,61,6.71,broken clouds
172,Abu Dhabi,AE,24.47,54.37,89.6,35,0,2.24,clear sky
173,Abdanan,IR,32.99,47.42,71.1,38,0,6.58,clear sky
174,Sangar,RU,63.92,127.47,27.16,93,0,5.66,clear sky
175,Berlevag,NO,70.86,29.09,46.4,81,75,5.82,broken clouds
176,Baiyin,CN,36.56,104.21,60.01,61,75,2.24,broken clouds
177,Bud,US,39.45,-86.18,62.01,41,75,10.29,light rain
178,Castro,BR,-24.79,-50.01,78.94,50,3,4.09,clear sky
179,Muzaffarabad,PK,34.37,73.47,65.93,35,0,4.7,clear sky
180,Makhachkala,RU,42.98,47.5,64.4,55,48,17.9,scattered clouds
181,Kampene,CD,-3.6,26.67,67.33,93,100,1.16,light rain
182,Kholodnyy,RU,62.72,147.95,28.78,96,6,1.92,clear sky
183,Riverton,US,40.52,-111.94,79.0,22,9,6.93,clear sky
184,Xixiang,CN,35.16,112.86,64.99,99,100,5.37,moderate rain
185,Upernavik,GL,72.79,-56.15,22.5,89,0,15.5,clear sky
186,Nioro,GM,13.35,-15.75,79.3,83,100,8.28,overcast clouds
187,Port Saint Lucie,US,27.29,-80.35,79.0,88,75,5.82,light rain
