City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Bartica,GY,77.0,shower rain,6.4,-58.62,La Vista Hotel and Apartment
408,Sinnamary,GF,82.58,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
411,Cururupu,BR,78.85,overcast clouds,-1.83,-44.87,Pousada Través'cia
415,Georgetown,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
420,Kupang,ID,76.42,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
421,Stephenville,US,82.4,clear sky,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
422,Hatillo,PR,84.2,clear sky,18.49,-66.83,Hotel Parador El Buen Cafe
423,Lingao,CN,79.68,overcast clouds,19.91,109.69,Lingao Ditai Inn
427,Kanker,IN,74.57,overcast clouds,20.27,81.49,STARiHOTEL Kanker
428,Bonthe,SL,77.41,overcast clouds,7.53,-12.51,Bonthe Holiday Village
430,Kavaratti,IN,81.01,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
432,Idlib,SY,71.6,scattered clouds,35.93,36.63,مركز تسيل للتجميل
433,Gidam,IN,72.28,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
436,Esmeraldas,BR,89.6,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
438,Harper,LR,76.98,light rain,4.38,-7.72,Screensaver
439,Hirara,JP,80.51,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
447,Ugoofaaru,MV,81.46,broken clouds,5.67,73.0,Ungoofaaru Inn
448,Sumenep,ID,80.8,clear sky,-7.02,113.87,OYO 3271 Homestay Pandian
455,Itacare,BR,74.37,overcast clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
456,Salgar,CO,75.2,scattered clouds,5.96,-75.97,La Alborada
459,Touros,BR,80.6,few clouds,-5.2,-35.46,INN NEW HORIZON
461,Yulara,AU,71.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
466,Hambantota,LK,78.4,overcast clouds,6.12,81.12,Bungalow 63
467,Abasolo,MX,78.8,clear sky,20.45,-101.52,Hotel Balneario Parque Acuático la Caldera
